,地址,经度,纬度
肯德基(陈行店),浦江镇陈行公路2688号华侨城商业中心F1层,121.49992387986352,31.09685073759896
肯德基(虹桥综合交通枢纽),虹桥路2550号虹桥综合交通枢纽F3层,121.32469660057222,31.19454909633484
肯德基(东川店),东川路2088号置业广场F1层,121.41536075372198,31.0170027370712
肯德基(吴中店),吴中路1109号吴中商务大厦1层(近万源路),121.38132676103655,31.178520974998754
肯德基(汇宝店),漕宝路3509号汇宝购物广场1层,121.34593219291209,31.158349224318485
肯德基(春申店),春申路2801号大润发春申店,121.40348316169376,31.110045316791542
肯德基(莘建店),水清南路20号莘庄地铁北出口,121.38016028871424,31.114470714968288
肯德基(百联南方购物中心店),沪闵路7388号百联南方购物中心2F层,121.39671315350303,31.13370271213071
肯德基(机场西楼安检店),虹桥国际机场2号航站楼,121.32186491941138,31.196230700781058
肯德基(凯德龙之梦购物中心莘庄店),沪闵路6088号凯德龙之梦购物中心(莘庄店)B1层B1-37&amp;38,121.37374401869558,31.110253500799484
肯德基(吴泾宝龙店),吴泾镇尚义路39弄3号吴泾镇尚义路39弄3号吴泾宝龙广场一层商铺号1F-013-1F、1F-04,121.44707236109166,31.03949908431641
肯德基(虹桥综合交通枢纽)5,虹桥路2550号虹桥综合交通枢纽3F-C1,121.31802662787848,31.196688821593874
肯德基(高铁精选餐厅),申虹路上海虹桥站3层,121.3142501950896,31.19643911033617
肯德基精选(虹桥综合交通枢纽),虹桥路2550号虹桥综合交通枢纽F4层3FC1,121.31474008094634,31.196564124146807
肯德基(莘庄店)(暂停营业),莘东路255号,121.37209291500419,31.110577969272473
肯德基(高铁精选餐厅)(装修中),虹桥火车站出发层3层-JC-C10,121.3181662996248,31.19681349364229
肯德基(虎城店),大华路518号乐购中心1层,121.4096839813466,31.272994288629835
肯德基(聚丰店),聚丰园路205号聚丰购物广场F1层,121.37741114888914,31.316961222081147
肯德基(月浦店),月浦镇月浦龙镇路75号,121.42223052412919,31.4196163682023
肯德基(宝宸店),长江西路2211号易买得长江店1层,121.43568035643445,31.33349245547792
肯德基(大华店),华灵路1051号九百购物中心F1层,121.41650089044303,31.281760306289925
