,地址,经度,纬度
星巴克咖啡(凌空广场店)1,金钟路968号凌空soho16号楼1层,121.3463008110224,31.22340424228828
星巴克咖啡(万都店),兴义路8号万都中心大厦1楼S102、S106商铺,121.42510261641173,31.212077397337588
星巴克咖啡(北新泾店),天山西路138号上海馥邦购物中心1楼,121.36889854652269,31.21884655520404
星巴克咖啡(优客百盛店),天山路889号优客百盛城市广场1层1E04室,121.3992194029146,31.212102701380037
星巴克咖啡(尚品中心店),通协路272号虹桥国际商务花园尚品中心1层,121.35068565766551,31.229052260468976
星巴克咖啡(淮海花园店),淮海西路280号101(番禺路与淮海西路交口),121.42444755616557,31.20186755277054
星巴克咖啡(申亚店),申亚珺悦1层,121.37066027616356,31.218728664473485
星巴克咖啡(金虹桥商场店),茅台路179号B2LG2583单元,121.39798842468761,31.210968199300478
星巴克咖啡(巴黎春天天山店),天山路762-780号巴黎春天(天山店)F1层,121.39715418516018,31.21363192686782
星巴克咖啡(星空广场店),虹桥路1665号星空广场A-104-105单元,121.38749963141716,31.20283839766617
星巴克咖啡(中山广场店),中山西路1065号SOHO中山广场B座1室(近虹桥路),121.4108621679861,31.199746486798862
星巴克咖啡(虹桥南丰城二店),遵义路100号虹桥南丰城B座B1层,121.4036416220672,31.20882800210647
星巴克咖啡(延安西路店)2,新华路519号18室(近定西路),121.41853265059898,31.20606023185777
星巴克咖啡(龙之梦购物中心),长宁路1018号龙之梦购物中心F1层1073,121.41223737784455,31.220660264649954
星巴克咖啡(龙之梦购物中心)3,长宁路1018号上海龙之梦大厦B2层2号,121.41198219517368,31.220474188452396
星巴克咖啡(虹桥万豪店),虹桥路2270号万豪大酒店A段1层,121.37193390095284,31.19350655892876
星巴克咖啡(淮海坊店),新·淮海坊F1层,121.4180768177013,31.198328587912947
星巴克咖啡(缤谷广场店),天山路341号缤谷广场1层102室,121.38261449213105,31.21620757284692
星巴克咖啡(昭化路店),定西路1026号(近昭化路),121.4189354896955,31.21314919265154
星巴克咖啡(上海高岛屋百货),虹桥路1438号上海高岛屋百货1F层,121.3987224241815,31.19991658711964
星巴克咖啡(东方维京大厦店),仙霞路333号东方维京大厦1层,121.39407094268545,31.20821681747619
星巴克咖啡(统一企业大厦店),天山西路568号统一企业大厦1幢105-106号,121.35583880026775,31.221051907880966
星巴克咖啡(联强国际店),天山西路1068号联强国际A栋1C单元(近协和路),121.35047768767919,31.221798998403006
星巴克咖啡(东银中心店),红宝石路500号东银中心1层106,121.39441256682856,31.20041556201308
星巴克咖啡(江苏路店),江苏路458号舜元企业发展大厦1层(近宣化路),121.42624055969168,31.220760677717287
星巴克咖啡(万都店)4,遵义南路9号万都中心大厦1层,121.39813595868193,31.20489913648632
星巴克咖啡(虹桥天都店),天山路919号虹桥天都101,121.40013646583081,31.212631526357008
星巴克咖啡(远东国际店),仙霞路317号远东国际广场B栋1层,121.39656667442452,31.208208558373563
星巴克咖啡(兆丰店),江苏路369号兆丰国际大厦1楼(近愚园路),121.42689056114729,31.220736522959683
星巴克咖啡(新华店),定西路475号,121.41827640208348,31.20563720005761
星巴克咖啡(中山公园店),长宁路1027号兆丰广场F1层,121.41316120025576,31.219817282125454
星巴克咖啡(华山国际店),华山路1568财瑞大厦1层102室,121.42883886744877,31.207111648743805
星巴克咖啡(碧瑶店),延安西路1166号碧瑶行政公寓1层,121.42372969635271,31.21162498093052
星巴克咖啡(上海影城店),新华路160号上海影城1层001号,121.42503620609872,31.204170138644837
星巴克咖啡(定西路店),定西路1328号巴黎春天百货1层,121.41782276685807,31.21872850462691
星巴克咖啡(美丽华花园店),水城南路85号(近虹桥路),121.38785867798791,31.20027449695246
星巴克咖啡(古北店),水城南路20号一、二层,121.38980523255736,31.19565302661099
星巴克咖啡(静安嘉里中心东区),南京西路1515号上海嘉里中心1号楼1层106,121.44540015821259,31.226354889763247
星巴克咖啡(宝燕商城店),灵石路716号(宝燕商城1楼),121.4344081891585,31.283745546668655
星巴克咖啡(晶品),愚园路68号晶品L2层L2-09A,121.44219651420613,31.227381087705364
星巴克咖啡(久光百货店),南京西路1618号久光百货F1层S103室,121.44107610671577,31.22590065781096
星巴克咖啡(上海大悦城北座),西藏北路166号上海大悦城北座L9层N905,121.46790161408661,31.246391413813964
星巴克咖啡(江场二路店),江场二路77-79号,121.43946612520799,31.300151586381773
星巴克咖啡,中兴路1303号火车站北广场,121.45199178298289,31.25272102839389
STARBUCKS RESERVE ROASTERY,南京西路789号兴业太古汇F2层,121.45822603527704,31.232702754579254
星巴克咖啡(越商大厦店),万航渡路333号一层01单元,121.43267480638907,31.227468571178992
星巴克咖啡(泰州路店),泰州路409号1层,121.42915193416698,31.235370745561553
星巴克咖啡(凯德·星贸店),恒通路318号凯德星贸广场1层,121.45333025877476,31.243065398880702
星巴克咖啡(常德路店),常德路1042号,121.43639501233139,31.238825342640958
星巴克咖啡(上海大悦城北座)5,西藏北路166号上海大悦城北座L8层N810,121.46782837374516,31.2464481914033
星巴克咖啡(宏慧新汇园店),共和新路4750号城市新汇广场1层底商,121.44201302215853,31.320535501298856
星巴克咖啡(1788E.A.T),南京西路1788号1788EATF1层F1-9,121.43917103012923,31.224692725598416
星巴克咖啡(越洋广场3店),南京西路1601号越洋广场1层(芮欧百货),121.44299355856037,31.22499274246688
星巴克咖啡(金鹰店),陕西北路278号金鹰国际购物中心1楼(近南京西路),121.45000942232367,31.230625638315516
星巴克咖啡(中兴店),西藏北路558号上海铭德大酒店1层,121.46521752548493,31.252847396885283
STARBUCKS COFFEE,万荣路777号大宁音乐广场1层(广中西路口),121.43939861972707,31.281246115487654
