,地址,经度,纬度
麦当劳(浦东好又多店),齐河路258号沃尔玛1层,121.49860704071827,31.18112480422251
麦当劳(上海浦东国际机场),迎宾大道6000号上海浦东国际机场1F层,121.79856501863351,31.153384908826304
麦当劳(锦绣路DT店),锦延路337号,121.53882724599188,31.217769641595048
麦当劳(陆家嘴明珠环店),世纪大道55号2层,121.49736352557284,31.240692444676863
麦当劳(盛夏路店),祖冲之路2305号,121.62369723935342,31.2142054223239
麦当劳(巨峰路店),巨峰路1058弄1号新紫茂广场F1层,121.60526464945661,31.282025831128728
麦当劳(博达生活广场店),博山东路68号(万德路),121.55630836832536,31.249758142369018
麦当劳(万达广场)5,周浦镇年家浜路518号万达广场周浦店2层201,121.56421726336673,31.116848410809986
麦当劳(绿地东海岸餐厅),川沙路5558号弄绿地东海岸国际广场6-7号楼103、202室,121.6952135700213,31.185796830082754
麦当劳(上海新国际博览中心店),龙阳路2345号上海新国际博览中心W5馆2层,121.56110977804043,31.21349727693566
麦当劳(东昌路世界广场餐厅),浦东南路855号世界广场B1层,121.51057423145217,31.234374479089997
麦当劳(昌里路店),昌里路333号浦东商场1层、B1层,121.48696872813908,31.17575672389435
麦当劳(张杨路店),张杨路601号华诚大厦1-2层,121.51443802033323,31.23043442904642
麦当劳(北蔡店),沪南路999号51生活时区广场1层,121.55134993682299,31.184770481195443
麦当劳(金桥店),张杨路3611弄金桥国际商业广场8座1层,121.57423802329268,31.25873757387649
麦当劳(正大广场),陆家嘴西路168号正大广场5层35-36号,121.49504130670564,31.238939281735625
麦当劳(杨高南路店),杨高南路1126号,121.52594023800056,31.208540414733818
麦当劳(塘桥店),浦东南路2100号,121.51212048002434,31.212536225720932
麦当劳(乳山路店),乳山路135号,121.51546701748046,31.236944354877025
麦当劳(上海浦东国际机场)6,迎宾大道6000号上海浦东国际机场2F层195,121.8018497188623,31.15189917081231
麦当劳(万科海上传奇店),御桥路1949号万科2049海上传奇F1层L102B,121.5673446364986,31.161487388758367
麦当劳7,川沙路5541号附近,121.69573672531138,31.185996880850993
麦当劳(上海新国际博览中心)(暂停营业),龙阳路2345号上海新国际博览中心F1层E4,121.56446583183696,31.211881613391736
麦当劳(龙阳路店)(装修中),龙阳路2100号132,121.5531754008838,31.20463891451582
麦当劳(金山红星美凯龙DT店),山阳镇杭州湾大道1888号红星美凯龙,121.3391862805186,30.750687286138582
麦当劳(纬零路店),金一东路158号,121.3349056055235,30.71525323870085
麦当劳(松江体育店),九峰路118号1层101室,121.22632074307907,31.018303857361936
麦当劳(开元地中海商业广场),新松江路925号开元地中海商业广场2F层2001A,121.21415559251996,31.04052387104303
麦当劳(松江南乐乐尚天地店),南乐路456号3106-3107商铺,121.29198422153594,31.026984624737437
麦当劳(九亭MTR店),沪松公路1501号九亭地铁站,121.3157098013533,31.139347746946374
麦当劳(梅家浜路DT店),梅家浜路1号双高广场,121.23728683090418,31.054186469375185
麦当劳(松江店),中山中路188号松江商城1层,121.22942445238803,31.009286156234467
麦当劳(莘松路芭比伦DT店),莘松路1028号,121.3511777661517,31.101466177842166
麦当劳(九亭镇店),九亭镇沪亭北路563-565号,121.31145553318436,31.14881670931678
麦当劳(漕盈路dt店),盈清路186号,121.08877444967733,31.142262135055535
麦当劳(华新DT店),华新镇华志路789号新尚生活广场1楼,121.2217069954519,31.233239936447657
麦当劳(青浦店),青安路55-59号,121.11198142083371,31.151391827704344
麦当劳(奥特莱斯店),嘉松中路5555号百联奥特莱斯广场C区,121.22372389713333,31.15973578999275
麦当劳(奉贤店),人民中路196号,121.4544553492868,30.91658100099971
